dff,fluor
0.071756326,GCaMP6s-CAAX
0.089232095,GCaMP6s-CAAX
0.06518896,GCaMP6s-CAAX
0.085743904,GCaMP6s-CAAX
0.056200385,GCaMP6s-CAAX
0.075533845,GCaMP6s-CAAX
0.09794486,GCaMP6s-CAAX
0.06283478,GCaMP6s-CAAX
0.07460424,GCaMP6s-CAAX
0.08670985,GCaMP6s-CAAX
0.06345635,GCaMP6s-CAAX
0.051912233,GCaMP6s-CAAX
0.05054602,GCaMP6s-CAAX
0.05221075,GCaMP6s-CAAX
0.05702503,GCaMP6s-CAAX
0.07738341,GCaMP6s-CAAX
0.060779955,GCaMP6s-CAAX
0.060934924,GCaMP6s-CAAX
0.06721317,GCaMP6s-CAAX
0.097969905,GCaMP6s-CAAX
0.09458686,GCaMP6s-CAAX
0.09945617,GCaMP6s-CAAX
0.12002923,GCaMP6s-CAAX
0.05211531,GCaMP6s-CAAX
0.05844703,GCaMP6s-CAAX
0.1748997,GCaMP6s-CAAX
0.09412389,GCaMP6s-CAAX
0.07360439,GCaMP6s-CAAX
0.08467498,GCaMP6s-CAAX
0.14015071,GCaMP6s-CAAX
0.06585948,GCaMP6s-CAAX
0.060763143,GCaMP6s-CAAX
0.08326464,GCaMP6s-CAAX
0.08743367,GCaMP6s-CAAX
0.08368527,GCaMP6s-CAAX
0.13507655,GCaMP6s-CAAX
0.14727266,GCaMP6s-CAAX
0.05918937,GCaMP6s-CAAX
0.07302791,GCaMP6s-CAAX
0.1135854,GCaMP6s-CAAX
0.1389081,GCaMP6s-CAAX
0.06520212,GCaMP6s-CAAX
0.15271643,GCaMP6s-CAAX
0.06000962,GCaMP6s-CAAX
0.16601962,GCaMP6s-CAAX
0.09458094,GCaMP6s-CAAX
0.08181003,GCaMP6s-CAAX
0.05322119,GCaMP6s-CAAX
0.115079254,GCaMP6s-CAAX
0.08926958,GCaMP6s-CAAX
0.092104755,GCaMP6s-CAAX
0.1444863,GCaMP6s-CAAX
0.12058384,GCaMP6s-CAAX
0.09130534,GCaMP6s-CAAX
0.14001976,GCaMP6s-CAAX
0.12401336,GCaMP6s-CAAX
0.13180178,GCaMP6s-CAAX
0.19120395,GCaMP6s-CAAX
0.15903756,GCaMP6s-CAAX
0.134779,GCaMP6s-CAAX
0.08294779,GCaMP6s-CAAX
0.08830677,GCaMP6s-CAAX
0.22263865,GCaMP6s-CAAX
0.095074244,GCaMP6s-CAAX
0.1276079,GCaMP6s-CAAX
